Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1		bighead	Bighead		BH	1	1												2	3		6	6	1	12	58	108	bighead	bighead	10	13	13	13	50	50	50	75	75	75	30	30	30	30	30	30	80	80	80														bighead1								1								1		1			1	1																																	100	85	75	-50	-40	-33				70						85		75	25			100			2				11	11	11	5	66	127	63	20	76	113	154			0				65	120	90	31	50	100	220			0				65	120	90	31	50	100	220			0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	1	1												2	4		6	6	1	11	57	107	bighead	bighead	10	13	13	13	50	50	50	100	100	100	40	40	40	40	40	40	80	80	80														bighead2								1								1		1			1	1																																	100	85	75	-50	-40	-33				60						80		75	25			105			2				10	10	10	5	67	130	63	20	63	101	148			0				65	120	90	31	50	100	220			0				65	120	90	31	50	100	220			0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	1	1												1	2		5	5	1	5	52	104	bighead	bighead	10	13	13	13	50	50	50	50	50	50	50	50	50	50	50	50	80	80	80														bighead3								1								1		1			1	1																																	100	85	75	-50	-40	-33				40						70			25			110			2				5	5	5	5	62	124	64	20	76	101	146			0				65	120	90	31	50	100	220			0				65	120	90	31	50	100	220			0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	1	1												1	3		5	5	1	8	55	105	bighead	bighead	10	13	13	13	50	50	50	0	0	0	40	40	40	65	65	65	80	80	80														bighead4								1								1		1			1	1																																	100	85	75	-50	-40	-33				50						75			25			115			2				8	8	8	5	67	128	63	20	67	101	154			0				65	120	90	31	50	100	220			0				65	120	90	31	50	100	220			0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	1	1												3	4		7	7	2	27	72	119	bighead	bighead	10	13	13	13	50	50	50	33	33	33	30	30	30	80	80	80	80	80	80														bighead5								1								1		1			1	1																																	100	85	75	-50	-40	-33				80						100			25			120			2				22	22	22	5	65	126	63	22	71	106	150			0				65	120	90	31	50	100	220			0				65	120	90	31	50	100	220			0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													2	4		4	4	2	4	52	103	foulcrow	foulcrow	10	13	13	13	50	50	50	65	65	65	90	90	90	10	10	10	70	70	70	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33															25			100	2				5	5	5	5	19	46	13	9	26	51	178			0				20	45	120	10	70	110	230			0				20	45	120	10	70	110	230			0				A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	1													3	4		4	4	2	6	53	104	foulcrow	foulcrow	10	13	13	13	50	50	50	65	65	65	90	90	90	10	10	10	75	75	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33															25			105	2				7	7	7	5	21	41	14	9	41	61	186			0				20	45	120	10	70	110	230			0				20	45	120	10	70	110	230			0				A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													3	5		5	5	2	16	60	111	foulcrow	foulcrow	10	13	13	13	50	50	50	65	65	65	90	90	90	10	10	10	75	75	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33						60						80			25			110	2				17	17	17	5	21	45	13	9	37	64	188			0				20	45	120	10	70	110	230			0				20	45	120	10	70	110	230			0				A1	pois					15	10	33	100	25	10	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													4	5		6	6	2	22	64	114	foulcrow	foulcrow	10	13	13	13	50	50	50	65	65	65	90	90	90	10	10	10	75	75	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33	30		20	60			40		50	80					50	100			2				22	22	22	5	22	44	13	9	36	72	188			0				20	45	120	10	70	110	230			0				20	45	120	10	70	110	230			0				A1	pois					15	10	33	100	25	10	33	100																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA	1							fallen1		1	1	2	3	2	3		5	5	2	1	51	102	fallen	fallen	10	13	13	13	50	50	50	50	50	50	20	20	20	70	70	70	30	30	30																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		100		40		2				9	9	9	5	21	61	84	15	51	101	202	51	101	202				25	55	70	16	45	90	180	50	100	170				25	55	70	16	45	90	180	50	100	170				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA	1							fallen2		1	1	2	4	2	4		5	5	2	5	53	103	fallen	fallen	10	13	13	13	50	50	50	55	55	55	24	24	24	80	80	80	35	35	35																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		110		40		2				16	16	16	5	24	54	84	15	51	101	182	51	101	182				25	55	70	16	45	90	180	50	100	170				25	55	70	16	45	90	180	50	100	170				A1	cold					10	15	20	150	20	15	20	200																													Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA	1							fallen3		1	1	3	4	3	4		6	6	2	7	54	120	fallen	fallen	10	13	13	13	50	50	50	60	60	60	30	30	30	90	90	90	40	40	40																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		120		40		2				25	25	25	5	18	53	84	14	41	101	188	41	101	188				25	55	70	16	45	90	180	50	100	170				25	55	70	16	45	90	180	50	100	170				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Fallen		FA	1							fallen4		1	1	3	5	3	5		6	6	2	10	56	106	fallen	fallen	10	13	13	13	50	50	50	70	70	70	30	30	30	95	95	95	45	45	45																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		125		40		2				36	36	36	5	23	55	84	15	43	101	182	43	101	182				25	55	70	16	45	90	180	50	100	170				25	55	70	16	45	90	180	50	100	170				A1	pois					10	10	15	50	20	10	15	75																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		8	8	2	40	70	118	fallen	fallen	10	13	13	13	50	50	50	80	80	80	30	30	30	99	99	99	50	50	50																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33	50	50	50	50	50	50	66	66	66	66	66	66	25	75	75	75	75	75	2				49	49	49	5	21	55	84	23	45	93	186	45	97	186				25	55	70	16	45	90	180	50	100	170				25	55	70	16	45	90	180	50	100	170				A1	cold					10	20	25	175	10	20	25	225																													Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	1													1	2		4	4	1	9	58	104	brute	brute	10	13	13	13	50	50	50				0	0	0	80	80	80	90	90	90																						1	1									1			1	1							1																										100	100	100	-50	-40	-33													50				120		2				6	6	6	5	139	224	84	30	76	101	182	126	151	182				145	210	85	30	70	120	190	110	140	200				145	210	85	30	70	120	190	110	140	200																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3		brute	Brute		YE	1													2	2		4	4	1	12	60	105	brute	brute	10	13	13	13	50	50	50				0	0	0	85	85	85	75	75	75																						1	1									1			1	1							1																										100	100	100	-50	-40	-33					20						60		50				130		2				10	10	10	5	146	236	84	30	58	101	190	115	129	190				145	210	85	30	70	120	190	110	140	200				145	210	85	30	70	120	190	110	140	200																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4		brute	Brute		YE	1													2	3		5	5	2	23	67	114	brute	brute	10	13	13	13	50	50	50				0	0	0	90	90	90	65	65	65																						1	1									1			1	1							1																										100	100	100	-50	-40	-33		60											50			50	140		2				19	19	19	5	143	231	84	30	62	101	186	108	139	186				145	210	85	30	70	120	190	110	140	200				145	210	85	30	70	120	190	110	140	200																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute5	27	brute2	brute1	3	WailingBeast	brute5		brute	Brute		YE	1													3	4		5	5	1	28	71	119	brute	brute	10	13	13	13	50	50	50				0	0	0	95	95	95	50	50	50																						1	1									1			1	1							1																										100	100	100	-50	-40	-33		60	20					80	50				50	100	75				2				23	23	23	5	142	230	85	30	61	107	184	114	141	184				145	210	85	30	70	120	190	110	140	200				145	210	85	30	70	120	190	110	140	200				A1	fire					15	15	35		15	30	50																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
brute1	28	brute2		4	GargantuanBeast	brute1		brute	Brute		YE	1													1	1		3	3	1	6	55	103	brute	brute	10	13	13	13	50	50	50				0	0	0	100	100	100	35	35	35																						1	1									1			1	1							1																										100	100	100	-50	-40	-33													50				100		2				4	4	4	5	129	215	84	30	67	101	202	101	134	202				145	210	85	30	70	120	190	110	140	200				145	210	85	30	70	120	190	110	140	200																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
sandraider1	29	sandraider1	sandraider2	0	SandRaider	sandraider1		sandraider	SandRaider		SR	1													2	3		5	5	1	13	58	109	sandraider	sandraider	10	13	13	13	50	50	50	40	40	40	40	40	40	85	85	85	85	85	85	9	9	9				50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	1																						100	75	66	-50	-45	-40													25		100	50		33	2				25	25	25	5	136	211	84	29	67	101	350	110	140	360	80	100	250	135	180	110	32	65	110	350	110	140	360	80	100	250	135	180	110	32	65	110	350	110	140	360	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
